County,Less_Than_High_School_Diploma,At_Least_High_School_Diploma,At_Least_Bachelors's_Degree,Graduate_Degree,School_Enrollment,Median_Earnings_2010,White_Not_Latino_Population,African_American_Population,Native_American_Population,Asian_American_Population,Other_Race_or_Races,Latino_Population,Children_Under_6_Living_in_Poverty,Adults_65_and_Older_Living_in_Poverty,Total_Population,Preschool_Enrollment_Ratio_enrolled_ages_3_and_4,Poverty_Rate_below_federal_poverty_threshold,Gini_Coefficient,Child_Poverty_living_in_families_below_the_poverty_line,Management_professional_and_related_occupations,Service_occupations,Sales_and_office_occupations,Farming_fishing_and_forestry_occupations,Construction_extraction_maintenance_and_repair_occupations,Production_transportation_and_material_moving_occupations,SIRE_homogeneity,median_age,Poor_physical_health_days,Poor_mental_health_days,Low_birthweight,Teen_births,Children_in_single_parent_households,Adult_smoking,Adult_obesity,Diabetes,Sexually_transmitted_infections,HIV_prevalence_rate,Uninsured,Unemployment,Violent_crime,Homicide_rate,Injury_deaths,Infant_mortality,Result_2016
"Lonoke County, Arkansas",14.2,85.8,16.6,4.9,75.45,28134.093969999998,88.0,6.35,0.5,0.75,1.45,3.0,23.65,12.95,65890,45.8,12.45,0.391,16.8,29.9,14.15,28.05,1.3,12.2,14.35,0.77962375,35.3,3.3,3.9,0.08,47.1,0.271,0.20600000000000002,0.312,0.10800000000000001,317.3,57.3,0.165,0.061,390.71,4.24,71.1,6.8,0
"Monroe County, Arkansas",31.4,68.6,12.3,3.7,80.25,20974.931744999998,56.8,39.9,0.5,0.95,0.55,1.3,44.0,23.55,8377,52.0,22.65,0.47,28.8,24.2,18.15,23.0,5.75,6.85,22.15,0.48213950000000005,43.2,5.3,4.281428571428571,0.12,70.7,0.53,0.368,0.35100000000000003,0.141,1572.8,345.1,0.2,0.084,202.77,9.861842105263156,112.9,8.819999999999999,0
"Drew County, Arkansas",19.4,80.6,19.4,5.7,78.5,21988.9473,67.9,27.95,0.15,0.55,0.85,2.65,34.15,14.4,18604,73.5,23.45,0.469,36.95,28.35,18.25,20.15,3.6,9.4,20.2,0.53996825,36.8,4.5,4.7,0.1,47.7,0.429,0.18100000000000002,0.32299999999999995,0.126,747.3,79.9,0.19699999999999998,0.10800000000000001,449.02,9.861842105263156,82.0,8.819999999999999,0
"Madison County, Arkansas",24.2,75.8,13.4,4.1,76.4,23365.94889,92.0,0.25,1.25,0.3,1.5,4.7,26.2,18.45,15597,43.8,18.2,0.446,25.15,25.15,16.85,19.55,2.9,16.2,19.4,0.8490055000000001,38.5,4.9,2.1,0.07,49.0,0.179,0.304,0.32799999999999996,0.135,247.2,131.3,0.239,0.053,245.83,9.861842105263156,96.8,8.819999999999999,0
"Jasper County, Georgia",21.7,78.3,13.3,5.6,70.2,25363.06095,72.7,22.2,0.4,0.1,1.05,3.55,17.6,17.95,13744,36.5,18.05,0.451,27.6,21.6,17.15,22.6,4.35,15.1,19.25,0.5792005,38.1,4.3,3.6999999999999997,0.09,54.1,0.381,0.21,0.298,0.11800000000000001,324.1,402.4,0.239,0.096,205.6,6.990810810810811,71.6,9.171999999999995,0
"Eagle County, Colorado",12.8,87.2,45.9,11.7,64.1,35484.543175,68.4,0.3,0.25,1.15,1.1,28.9,11.65,4.85,51405,50.7,9.4,0.46399999999999997,12.05,32.9,24.8,20.05,0.45,15.5,6.3,0.5516455,33.4,2.5,2.1,0.09,41.3,0.204,0.095,0.132,0.036000000000000004,190.9,133.7,0.23,0.081,123.88,4.542941176470588,42.9,3.5,1
"Dodge County, Georgia",23.1,76.9,13.8,4.8,61.5,26927.608255000003,66.15,29.8,0.15,0.45,0.65,2.8,20.65,20.6,20745,41.5,21.15,0.46399999999999997,23.7,26.15,20.05,22.0,1.6,11.35,18.85,0.527235,37.7,4.3,4.7,0.12,64.0,0.45299999999999996,0.18899999999999997,0.358,0.153,497.9,315.8,0.20800000000000002,0.115,477.48,8.11,79.4,9.171999999999995,0
"Imperial County, California",37.7,62.3,12.2,4.0,77.95,22388.489205,15.2,3.1,1.0,1.6,0.85,78.25,29.1,14.05,167281,49.7,21.3,0.469,27.75,24.75,21.95,26.9,5.65,8.9,11.8,0.6367995,31.6,4.6,3.8,0.06,62.2,0.36,0.124,0.235,0.07400000000000001,429.2,146.1,0.228,0.28300000000000003,326.13,3.22,46.1,4.3,1
"Clarke County, Georgia",15.7,84.3,41.2,19.3,83.0,17442.985080000002,58.9,25.95,0.1,3.7,1.75,9.55,36.0,10.65,114913,51.6,33.25,0.531,33.15,40.1,20.0,22.75,0.6,5.4,11.15,0.42505775,25.8,3.2,4.3,0.09,24.8,0.429,0.122,0.267,0.09,768.7,288.7,0.243,0.07,369.83,5.03,44.8,9.1,1
"Yuma County, Colorado",16.4,83.6,17.8,4.5,73.9,23207.84889,78.5,0.15,0.5,0.1,0.5,20.25,9.7,11.35,9836,55.1,10.25,0.414,12.4,30.95,11.45,19.0,9.5,18.2,10.8,0.6572845,36.7,2.9,1.6,0.07,45.9,0.127,0.177,0.251,0.06,89.1,110.9,0.231,0.04,66.82,4.542941176470588,66.7,6.043749999999999,0
"Prowers County, Colorado",19.5,80.5,18.3,7.2,80.45,21133.90127,61.1,0.35,0.35,0.3,1.35,36.45,37.35,14.85,12878,52.4,22.35,0.44799999999999995,30.9,30.9,16.55,20.25,7.95,12.65,11.7,0.506397,35.9,4.1,3.7,0.09,67.7,0.319,0.191,0.255,0.073,390.5,89.6,0.226,0.065,102.68,4.542941176470588,92.7,6.043749999999999,0
"Carroll County, Georgia",21.2,78.8,18.3,6.7,76.25,25415.02603,74.35,17.55,0.2,0.8,1.7,5.5,21.15,15.1,110584,48.8,16.75,0.429,19.35,28.25,16.1,25.2,0.25,11.75,18.45,0.5869745,33.2,4.3,4.1,0.08,47.9,0.33299999999999996,0.215,0.314,0.129,409.3,224.1,0.226,0.09699999999999999,572.92,4.94,74.2,7.3,0
"San Francisco County, California",14.3,85.7,51.2,19.7,76.55,42931.72635,43.25,6.1,0.25,32.1,3.6,14.65,11.95,11.6,801253,62.5,11.7,0.507,12.35,50.6,16.35,22.55,0.1,4.65,5.75,0.31658275,38.3,3.1,3.1,0.07,16.2,0.29600000000000004,0.095,0.16,0.069,587.8,2021.7,0.139,0.073,712.15,8.37,62.5,4.0,1
"Wilkes County, Georgia",28.2,71.8,15.5,7.1,77.35,22097.221905000002,53.1,41.65,0.55,0.25,1.2,3.25,59.25,18.2,10442,32.7,24.4,0.48700000000000004,34.5,28.65,15.55,17.75,7.0,10.5,20.5,0.45666999999999996,43.0,4.5,3.6999999999999997,0.1,50.1,0.495,0.21157500000000004,0.327,0.16399999999999998,568.0,175.7,0.212,0.109,494.94,6.990810810810811,71.8,9.171999999999995,0
"Madison County, Illinois",10.6,89.4,23.0,8.1,80.65,30329.407935000003,87.05,7.9,0.2,0.75,1.6,2.45,21.5,6.7,268084,57.0,12.55,0.42700000000000005,18.3,33.0,17.2,25.8,0.2,9.25,14.5,0.76492775,38.2,3.8,3.9,0.08,38.1,0.327,0.198,0.32,0.111,408.6,105.0,0.11699999999999999,0.08800000000000001,246.23,4.76,72.7,7.6,0
"Dubuque County, Iowa",10.6,89.4,25.3,8.8,80.05,26345.32603,93.9,1.9,0.2,0.85,1.4,1.8,14.6,7.85,92849,52.4,8.7,0.426,11.45,33.25,17.8,24.95,0.55,7.8,15.75,0.88267825,38.2,2.3,1.9,0.06,27.2,0.253,0.1,0.272,0.09,350.8,43.8,0.091,0.048,247.52,1.55,45.8,5.3,0
"Bond County, Illinois",12.0,88.0,24.7,8.9,80.4,26599.860635,89.2,6.2,0.25,0.7,1.35,2.35,15.8,9.8,17970,70.6,11.95,0.414,13.65,29.5,19.1,23.25,0.65,9.85,17.6,0.80029775,39.3,5.9,2.6,0.07,31.4,0.27699999999999997,0.39299999999999996,0.289,0.09699999999999999,299.0,100.2,0.113,0.087,40.94,4.455,68.1,7.3657894736842096,0
"Poweshiek County, Iowa",7.9,92.1,21.7,8.8,87.5,22880.666665,94.25,0.85,0.1,1.35,1.3,2.1,14.55,8.05,18739,38.8,10.35,0.419,11.65,34.1,18.75,21.75,0.95,8.1,16.35,0.88917175,41.6,2.7,2.9,0.06,19.1,0.28300000000000003,0.16899999999999998,0.294,0.081,223.4,43.4,0.092,0.051,108.04,2.8745454545454545,56.8,5.9399999999999995,0
"Story County, Iowa",4.7,95.3,47.2,19.3,84.5,17362.730795,87.9,2.25,0.1,5.8,1.45,2.55,11.75,6.15,87161,49.1,19.3,0.45299999999999996,9.7,42.85,17.15,23.15,1.4,5.85,9.6,0.77737275,26.4,2.2,2.2,0.06,8.6,0.205,0.107,0.251,0.055999999999999994,321.2,44.7,0.099,0.039,279.45,2.8745454545454545,35.8,4.0,1
"Henry County, Iowa",10.8,89.2,19.9,5.7,77.05,25992.031430000003,91.3,1.45,0.1,2.95,1.3,2.9,25.8,9.45,20111,41.9,13.65,0.452,19.35,27.9,18.2,18.35,1.1,11.2,23.2,0.8356604999999999,39.1,3.7,2.6,0.06,32.7,0.33399999999999996,0.168,0.31,0.092,266.2,65.0,0.11900000000000001,0.066,276.69,2.8745454545454545,56.2,5.9399999999999995,0
"Putnam County, Illinois",11.3,88.7,15.0,5.1,77.7,29238.794285000004,94.0,0.65,0.05,0.3,0.75,4.2,22.15,6.15,5991,45.6,10.8,0.38,21.35,20.3,16.05,25.3,0.6,12.95,24.75,0.88547175,44.6,3.5211267605633796,3.079245283018867,0.07,17.3,0.23600000000000002,0.21284999999999998,0.28800000000000003,0.10099999999999999,251.3,137.61025641025643,0.11599999999999999,0.10099999999999999,74.81,4.455,70.2,7.3657894736842096,0
"Pike County, Georgia",17.0,83.0,15.7,5.9,77.95,28673.490475,85.25,11.35,0.4,0.25,1.4,1.35,16.75,7.95,17440,37.0,10.5,0.38,14.85,28.35,12.9,24.4,0.1,15.05,19.15,0.740039,37.9,4.08421052631579,3.6999999999999997,0.09,37.7,0.305,0.21157500000000004,0.313,0.11699999999999999,191.5,38.6,0.204,0.091,59.74,6.990810810810811,70.1,9.171999999999995,0
"Caldwell County, Kentucky",17.6,82.4,14.0,8.0,78.7,26910.743489999997,92.55,4.55,0.15,0.75,1.15,0.9,32.0,18.95,12903,19.1,17.15,0.447,20.55,27.45,14.05,24.4,0.35,12.45,21.25,0.85889225,42.4,4.0,4.5,0.1,61.5,0.375,0.304,0.326,0.124,308.3,135.6,0.177,0.071,192.68,5.38138888888889,86.6,7.602857142857143,0
"Fayette County, Kentucky",11.7,88.3,39.1,16.4,77.05,26208.018415000002,74.35,13.85,0.2,3.15,2.0,6.4,24.55,8.9,291670,46.1,17.2,0.48100000000000004,20.9,40.9,16.3,26.4,1.25,6.2,8.85,0.57746675,33.5,3.5,3.3,0.09,35.2,0.361,0.16399999999999998,0.289,0.095,470.2,274.5,0.18100000000000002,0.063,573.22,5.49,59.0,6.6,1
"Bartholomew County, Indiana",10.8,89.2,26.7,11.2,77.75,29709.86635,88.3,1.75,0.2,3.2,1.4,5.15,21.3,5.3,75737,55.8,10.15,0.42700000000000005,15.25,37.0,13.6,22.4,0.5,6.8,19.8,0.7838715,37.7,3.8,3.0,0.08,52.6,0.306,0.19399999999999998,0.32,0.102,304.4,81.6,0.16899999999999998,0.064,138.57,1.9,62.0,7.6,0
"Carlisle County, Kentucky",21.1,78.9,10.6,2.8,72.0,22907.51746,97.25,0.55,0.25,0.15,0.4,1.4,17.85,16.0,5154,53.4,16.35,0.40299999999999997,15.9,17.8,17.1,23.3,2.7,19.8,19.35,0.9460069999999999,43.6,7.3,4.805405405405406,0.09,39.3,0.221,0.28523728813559324,0.303,0.127,178.3,86.57528089887639,0.191,0.07400000000000001,45.48,5.38138888888889,101.4,7.602857142857143,0
"Leavenworth County, Kansas",8.6,91.4,28.8,11.0,76.45,30676.308889999997,81.55,9.05,0.65,1.35,2.65,4.75,14.1,8.9,74865,50.4,7.95,0.397,9.85,33.75,18.05,25.0,0.45,10.4,12.3,0.6764135,37.1,3.1,2.3,0.07,33.9,0.278,0.183,0.315,0.094,340.8,178.8,0.1,0.069,476.94,2.13,48.8,6.5,0
"Schuyler County, Illinois",10.8,89.2,17.7,5.6,79.65,25490.396825,95.65,1.7,0.1,0.8,0.45,1.3,25.0,12.75,7230,74.4,13.45,0.36700000000000005,17.65,23.9,19.1,20.65,1.7,13.95,20.7,0.9154355,42.6,3.5211267605633796,3.079245283018867,0.07,35.3,0.267,0.21284999999999998,0.29100000000000004,0.096,187.2,137.61025641025643,0.152,0.07,99.27,4.455,58.5,7.3657894736842096,0
"Franklin County, Indiana",14.6,85.4,16.5,5.9,76.7,29382.713335000004,98.4,0.05,0.05,0.15,0.45,0.8,17.7,11.35,23080,27.1,11.4,0.41,16.05,28.1,15.95,20.9,0.75,12.15,22.15,0.9683430000000001,39.6,4.6,3.1,0.07,30.6,0.191,0.317,0.28600000000000003,0.132,91.1,82.57922077922083,0.15,0.083,61.6,4.187857142857142,73.3,7.352083333333332,0
"Barry County, Michigan",9.5,90.5,16.6,6.2,78.7,29950.24635,95.6,0.35,0.35,0.4,1.25,2.1,16.5,4.95,58994,36.4,8.7,0.392,11.85,25.0,15.7,24.0,1.5,12.15,21.7,0.91457375,39.9,3.4,3.2,0.06,29.9,0.212,0.21100000000000002,0.37,0.09699999999999999,178.5,44.1,0.12300000000000001,0.063,175.22,4.434166666666666,59.7,5.3,0
"Carlton County, Minnesota",9.7,90.3,21.4,7.2,76.2,30427.26762,89.5,1.35,5.4,0.55,1.9,1.4,16.9,7.5,34630,45.6,10.7,0.396,13.5,33.25,20.55,20.15,0.45,9.9,15.65,0.8047105,40.1,3.6,3.9,0.06,30.9,0.265,0.155,0.27899999999999997,0.081,248.2,23.1,0.11199999999999999,0.071,124.41,2.79,69.8,5.554545454545456,1
"Clearwater County, Minnesota",15.6,84.4,14.5,3.1,71.6,23221.12603,87.3,0.3,9.0,0.3,1.8,1.25,23.3,16.1,8463,46.5,15.5,0.42100000000000004,21.6,27.75,19.75,18.25,1.95,13.95,18.35,0.77072725,42.1,3.6,2.5,0.06,40.3,0.28,0.201,0.299,0.09699999999999999,79.8,60.435999999999986,0.153,0.11199999999999999,353.98,2.79,48.9,5.554545454545456,0
"Pine County, Minnesota",14.1,85.9,12.9,4.1,72.35,24218.175555,91.2,1.5,2.85,0.35,1.75,2.25,23.7,10.1,28962,32.9,13.8,0.397,19.05,24.85,23.35,21.65,1.55,12.15,16.35,0.833606,41.5,3.3,3.3,0.06,37.2,0.315,0.18600000000000003,0.284,0.07400000000000001,141.9,91.5,0.125,0.081,137.08,2.79,70.0,5.554545454545456,0
"Watonwan County, Minnesota",20.4,79.6,15.0,3.7,78.3,25059.64762,77.4,0.4,0.2,1.25,0.7,20.1,35.15,9.45,11115,40.3,12.6,0.39799999999999996,20.55,27.95,17.9,16.9,2.1,11.1,24.0,0.63970225,42.3,1.9,2.7492307692307696,0.05,52.0,0.317,0.1783529411764706,0.308,0.09300000000000001,214.3,64.2,0.155,0.062,102.14,2.79,73.1,5.554545454545456,0
"Dade County, Missouri",18.0,82.0,9.1,2.7,71.6,20433.78889,95.15,0.25,0.6,0.25,2.3,1.5,28.75,12.9,7693,31.9,18.9,0.41100000000000003,29.4,24.3,17.0,20.9,2.95,11.45,23.35,0.90615475,45.1,4.199082568807341,4.035164835164835,0.07,40.5,0.36200000000000004,0.2541553398058252,0.32,0.11599999999999999,153.7,107.50374999999997,0.21100000000000002,0.07200000000000001,120.89,6.0865625,85.7,8.073809523809523,0
"Clarke County, Mississippi",24.9,75.1,8.3,1.9,81.2,24483.45397,63.65,34.85,0.2,0.35,0.45,0.55,32.35,21.7,17032,54.7,22.6,0.447,34.5,21.65,16.7,22.15,2.05,15.45,22.0,0.52665125,39.3,4.0,3.9,0.12,54.1,0.47200000000000003,0.18899999999999997,0.349,0.14,692.8,349.9,0.22399999999999998,0.111,249.19229166666662,11.990499999999995,95.2,11.253571428571432,0
"Montgomery County, Mississippi",25.4,74.6,16.3,3.2,75.3,21118.486665,52.85,45.4,0.05,0.35,0.75,0.6,46.5,18.85,11168,43.6,25.25,0.462,32.9,27.35,12.7,24.5,2.15,12.95,20.3,0.485533,39.8,3.2,3.0,0.14,62.6,0.593,0.19,0.363,0.17,772.6,329.6,0.20199999999999999,0.11900000000000001,249.19229166666662,11.990499999999995,122.1,11.253571428571432,0
"Panola County, Mississippi",27.6,72.4,12.5,4.0,72.05,23711.684445,49.45,48.05,0.2,0.15,0.75,1.4,43.35,23.4,34927,37.1,28.7,0.446,43.35,25.15,17.65,21.6,0.65,13.7,21.2,0.47566899999999995,35.8,4.7,4.4,0.12,90.0,0.503,0.24100000000000002,0.36,0.14,953.7,195.5,0.207,0.115,299.19,8.63,117.9,8.8,0
"Tate County, Mississippi",20.3,79.7,14.1,5.0,76.65,23051.13905,66.3,30.25,0.1,0.3,1.25,1.8,34.7,12.05,27887,34.8,17.55,0.414,27.5,23.15,17.15,24.7,0.6,14.5,19.95,0.5315655,36.0,4.2,4.9,0.1,47.8,0.461,0.23800000000000002,0.35,0.14800000000000002,738.2,100.0,0.205,0.09699999999999999,79.28,5.66,102.2,9.8,0
"Yazoo County, Mississippi",26.4,73.6,11.9,3.7,71.8,18298.229205,37.65,57.35,0.35,0.25,1.05,3.35,48.25,25.4,28180,58.8,32.2,0.48700000000000004,47.8,23.7,21.55,23.8,1.8,7.95,21.2,0.47190550000000003,34.8,4.0,3.6,0.14,91.4,0.627,0.245,0.38299999999999995,0.132,953.9,475.9,0.2,0.114,249.19229166666662,12.62,73.9,11.0,1
"Sanders County, Montana",13.4,86.6,15.6,3.3,74.3,19190.30889,90.55,0.2,4.65,0.3,2.25,2.0,45.85,12.55,11181,37.0,21.9,0.42200000000000004,34.7,27.5,20.9,21.2,2.65,13.6,14.2,0.82301175,48.8,4.1,2.6,0.07,31.3,0.26899999999999996,0.21899999999999997,0.266,0.10400000000000001,104.9,55.875,0.299,0.132,264.33,6.7425,107.3,6.512499999999999,0
"Cherokee County, North Carolina",18.5,81.5,15.9,6.4,77.45,23268.266030000003,92.8,0.85,1.65,0.4,2.3,2.0,23.9,14.55,26823,38.4,13.9,0.44,15.3,26.05,18.35,19.95,1.45,16.95,17.2,0.8624735,47.4,4.4,3.1,0.1,45.7,0.257,0.251,0.275,0.136,125.0,60.1,0.21600000000000003,0.128,206.74,5.31,94.4,12.0,0
"Green County, Kentucky",26.6,73.4,11.4,5.7,75.15,23297.83746,94.9,2.3,0.3,0.2,0.85,1.45,15.95,19.65,11385,44.1,17.3,0.5,20.25,31.25,13.0,17.85,2.55,9.6,25.8,0.9014254999999999,43.1,5.3,5.1,0.08,44.7,0.33799999999999997,0.307,0.3,0.132,347.6,53.3,0.198,0.079,43.82,5.38138888888889,79.1,7.602857142857143,0
"Livingston County, Kentucky",20.9,79.1,10.7,4.6,74.15,23678.94476,97.25,0.5,0.25,0.55,0.55,0.95,18.5,15.2,9564,45.2,10.7,0.414,18.05,25.45,22.05,19.8,1.25,14.15,17.35,0.94593825,44.3,6.8,6.3,0.08,52.6,0.33399999999999996,0.303,0.326,0.139,115.4,122.2,0.184,0.08199999999999999,62.75,5.38138888888889,126.2,7.602857142857143,0
"Nelson County, Kentucky",16.2,83.8,15.4,6.4,75.65,27922.106665,91.3,4.95,0.1,0.55,1.35,1.65,18.7,14.25,42889,50.2,13.1,0.40700000000000003,17.85,26.1,12.8,22.05,0.85,13.95,24.2,0.8365049999999999,36.9,4.1,3.5,0.09,45.2,0.32899999999999996,0.298,0.302,0.098,498.0,46.2,0.161,0.087,120.77,5.38138888888889,81.0,5.2,0
"Pike County, Kentucky",28.8,71.2,12.0,5.7,72.7,25659.18603,97.55,0.4,0.2,0.45,0.65,0.75,38.05,13.75,65274,36.4,22.25,0.466,28.9,25.65,14.75,26.5,0.1,18.85,14.05,0.9517389999999999,39.9,7.9,6.9,0.11,56.8,0.298,0.309,0.366,0.14800000000000002,164.9,27.1,0.18,0.091,41.01,6.11,124.0,7.4,0
"Whitley County, Kentucky",29.8,70.2,11.9,5.9,76.8,18922.585395,96.85,0.6,0.2,0.35,1.2,0.9,34.6,20.45,36947,44.6,28.95,0.48100000000000004,38.35,26.9,20.15,25.8,0.6,7.85,18.75,0.9382695,37.3,6.2,5.8,0.1,65.1,0.34,0.285,0.358,0.14400000000000002,223.3,45.0,0.175,0.095,97.54,7.13,105.5,11.3,0
"Grant Parish, Louisiana",20.2,79.8,11.8,4.2,69.95,26050.426985,81.2,13.6,0.9,0.2,1.25,2.8,21.3,12.85,21047,29.7,15.65,0.431,20.95,26.0,14.65,24.4,1.0,15.35,18.6,0.67886525,36.6,5.4,4.4,0.09,68.7,0.32,0.29,0.332,0.128,207.9,133.8,0.209,0.069,80.78,8.08,99.7,12.2,0
"Webster Parish, Louisiana",24.5,75.5,13.5,4.1,71.45,23338.176190000002,63.65,33.2,0.35,0.3,1.0,1.5,37.2,14.15,40963,44.1,21.25,0.451,30.7,24.35,17.15,23.1,0.45,16.65,18.35,0.5157025,39.8,4.0,2.9,0.13,62.4,0.484,0.257,0.33899999999999997,0.132,864.7,118.1,0.204,0.07200000000000001,267.09,7.62,72.8,12.5,0
"Bristol County, Massachusetts",19.9,80.1,24.7,8.1,78.7,32110.545714999997,86.45,2.9,0.15,1.8,3.2,5.5,18.4,10.15,546747,56.3,11.0,0.442,15.3,33.35,18.05,25.7,0.3,9.4,13.2,0.7525765,39.2,3.7,3.8,0.08,25.1,0.34700000000000003,0.203,0.29100000000000004,0.10800000000000001,257.8,243.4,0.052000000000000005,0.09300000000000001,589.14,2.8,54.5,5.5,1
"Pecos County, Texas",34.9,65.1,11.3,4.1,63.6,23653.493335,28.85,3.65,0.3,0.4,1.05,65.75,18.95,18.55,15704,24.6,18.45,0.47,21.25,20.9,26.05,17.8,4.7,18.35,12.2,0.5170060000000001,36.0,3.5,4.0,0.08,85.6,0.299,0.2174653465346534,0.295,0.096,369.1,45.3,0.285,0.045,401.08,5.430449438202247,71.5,7.11444444444444,0
"Rains County, Texas",19.2,80.8,12.1,3.2,65.85,22699.93746,87.05,2.65,0.85,0.4,0.95,8.1,13.95,9.85,11009,12.5,13.2,0.39899999999999997,16.95,26.5,14.3,22.95,0.85,21.5,13.8,0.765212,44.5,4.0365079365079355,3.639361702127661,0.09,50.4,0.39399999999999996,0.2174653465346534,0.293,0.11800000000000001,63.3,160.46444444444452,0.28600000000000003,0.073,131.26,5.430449438202247,85.9,7.11444444444444,0
"San Patricio County, Texas",23.7,76.3,15.1,3.7,72.6,23955.779365000002,42.7,1.75,0.3,0.8,1.05,53.45,30.4,11.95,66598,43.7,15.7,0.436,22.35,28.45,20.5,23.0,1.15,13.45,13.45,0.46850875,35.1,4.2,3.1,0.09,74.1,0.35600000000000004,0.19699999999999998,0.292,0.10800000000000001,482.0,76.3,0.231,0.076,290.12,3.44,53.8,6.2,0
"Willacy County, Texas",42.6,57.4,8.6,3.1,72.3,20599.98127,10.55,1.8,0.15,0.4,0.3,86.85,54.05,39.15,21249,42.9,45.15,0.545,54.35,23.0,35.05,22.3,5.4,6.1,8.1,0.76577375,31.6,4.0365079365079355,3.639361702127661,0.08,76.5,0.42,0.2174653465346534,0.285,0.08800000000000001,316.8,264.7,0.298,0.14,1164.82,5.430449438202247,40.4,7.11444444444444,1
"Yoakum County, Texas",28.6,71.4,15.0,3.4,71.45,25996.952065,41.95,1.05,0.2,0.15,0.35,56.25,39.05,12.35,7666,33.8,23.0,0.435,34.95,25.0,11.8,16.95,7.95,25.5,12.85,0.49251525,32.8,4.0365079365079355,3.639361702127661,0.09,87.2,0.18600000000000003,0.2174653465346534,0.298,0.092,349.8,160.46444444444452,0.278,0.035,144.45,5.430449438202247,70.0,7.11444444444444,0
"Amelia County, Virginia",22.0,78.0,13.1,4.4,65.2,29043.920635000002,73.45,22.5,0.2,0.25,0.95,2.6,19.2,9.8,12635,8.1,11.95,0.40399999999999997,13.2,25.3,13.55,23.45,2.6,20.45,14.65,0.59089175,41.5,3.0,4.3,0.06,40.2,0.258,0.2,0.327,0.11199999999999999,335.8,64.0,0.19699999999999998,0.057,134.91,7.016346153846154,87.9,8.283673469387756,0
"Lincoln County, South Dakota",4.4,95.6,36.9,11.0,77.5,32886.26095,95.5,0.5,0.35,0.95,1.4,1.3,5.75,8.05,41217,47.8,4.05,0.43200000000000005,4.7,38.2,12.6,28.3,0.6,9.0,11.3,0.9125175,32.8,1.9,1.8,0.06,17.2,0.19,0.106,0.27699999999999997,0.064,153.9,157.15072867083228,0.084,0.035,176.69,2.26,42.7,6.9,0
"Perkins County, South Dakota",17.3,82.7,17.8,3.4,70.85,22153.38508,96.55,0.05,1.5,0.05,1.45,0.45,36.45,19.7,2929,39.2,18.3,0.547,24.6,44.9,11.6,17.9,3.55,11.55,10.45,0.93264625,47.3,2.772131147540983,1.6,0.06704545454545453,16.7,0.129,0.128,0.308,0.098,425.5360000000001,157.15072867083228,0.212,0.04,22.57,2.26,88.66060606060607,8.725000000000001,0
"Giles County, Tennessee",22.0,78.0,12.1,4.8,76.5,25160.741585,85.75,10.9,0.2,0.25,1.6,1.35,29.5,12.25,29280,25.9,16.85,0.45399999999999996,24.6,25.3,14.6,23.8,0.75,11.2,24.3,0.74763575,41.9,3.3,3.8,0.08,44.6,0.321,0.263,0.361,0.11699999999999999,384.5,116.4,0.171,0.092,279.17,6.163703703703704,90.6,8.678431372549017,0
"Haywood County, Tennessee",25.2,74.8,12.9,4.3,70.75,21147.461905,45.0,49.6,0.05,0.35,0.85,4.1,40.45,25.55,18971,45.2,26.5,0.45399999999999996,37.95,22.75,19.85,20.6,1.2,8.2,27.4,0.45028175,38.0,4.4,3.0,0.13,68.7,0.391,0.17300000000000001,0.387,0.145,866.3,573.5,0.166,0.11199999999999999,1175.56,6.163703703703704,63.1,17.5,1
"Henderson County, Tennessee",21.2,78.8,11.8,4.4,73.45,27084.528255,88.7,7.55,0.25,0.25,1.65,1.65,21.95,22.3,27228,29.6,16.45,0.42700000000000005,20.05,25.85,14.35,22.6,0.35,14.0,22.85,0.79302625,39.4,3.3,2.8,0.1,57.3,0.37,0.259,0.364,0.115,562.5,78.3,0.16,0.106,602.84,6.163703703703704,76.3,9.3,0
"Jackson County, Tennessee",30.9,69.1,9.4,4.7,64.65,20467.08,97.9,0.2,0.2,0.05,0.75,0.9,43.8,14.65,11267,38.5,22.8,0.435,29.9,21.05,15.8,21.95,2.6,15.3,23.3,0.9585865,43.9,4.5,3.7935897435897434,0.07,40.2,0.32299999999999995,0.27399999999999997,0.307,0.121,184.7,77.5,0.19,0.094,198.59,6.163703703703704,118.4,8.678431372549017,0
"McMinn County, Tennessee",21.7,78.3,13.9,4.4,73.05,23977.00381,90.7,3.9,0.2,0.7,1.75,2.75,28.75,12.75,52160,28.9,17.55,0.434,23.75,26.15,15.2,21.65,1.05,10.35,25.65,0.8252855,40.6,6.2,4.7,0.09,49.7,0.324,0.223,0.335,0.124,259.0,103.0,0.171,0.092,618.12,3.59,91.8,5.9,0
"Spotsylvania County, Virginia",11.5,88.5,29.9,10.9,79.7,38810.65397,73.1,14.75,0.3,2.25,2.7,7.0,13.25,6.6,120454,44.8,7.3,0.37799999999999995,9.75,39.4,16.4,25.6,0.25,10.35,8.0,0.5622615,35.7,3.7,2.9,0.07,29.6,0.276,0.16399999999999998,0.298,0.1,328.2,107.4,0.135,0.05,214.61,2.3,47.8,7.5,0
