County,Less_Than_High_School_Diploma,At_Least_High_School_Diploma,At_Least_Bachelors's_Degree,Graduate_Degree,School_Enrollment,Median_Earnings_2010,White_Not_Latino_Population,African_American_Population,Native_American_Population,Asian_American_Population,Other_Race_or_Races,Latino_Population,Children_Under_6_Living_in_Poverty,Adults_65_and_Older_Living_in_Poverty,Total_Population,Preschool_Enrollment_Ratio_enrolled_ages_3_and_4,Poverty_Rate_below_federal_poverty_threshold,Gini_Coefficient,Child_Poverty_living_in_families_below_the_poverty_line,Management_professional_and_related_occupations,Service_occupations,Sales_and_office_occupations,Farming_fishing_and_forestry_occupations,Construction_extraction_maintenance_and_repair_occupations,Production_transportation_and_material_moving_occupations,SIRE_homogeneity,median_age,Poor_physical_health_days,Poor_mental_health_days,Low_birthweight,Teen_births,Children_in_single_parent_households,Adult_smoking,Adult_obesity,Diabetes,Sexually_transmitted_infections,HIV_prevalence_rate,Uninsured,Unemployment,Violent_crime,Homicide_rate,Injury_deaths,Infant_mortality,Result_2016
"Jasper County, Missouri",18.7,81.3,18.6,5.9,72.95,22289.217145,87.15,1.7,1.35,0.95,2.5,6.3,31.45,10.1,116080,39.0,18.65,0.444,25.4,26.75,18.75,25.2,0.55,9.65,19.05,0.76466775,35.1,4.1,4.7,0.07,63.0,0.374,0.203,0.326,0.098,526.9,121.7,0.204,0.059000000000000004,402.9,4.16,68.5,5.0,0
"Montgomery County, Missouri",21.7,78.3,12.2,3.8,76.05,23497.51397,94.9,1.95,0.1,0.25,1.5,1.2,23.85,7.35,12060,31.7,14.2,0.39899999999999997,23.55,20.5,19.3,23.05,1.75,13.65,21.8,0.9013575,42.2,3.8,4.035164835164835,0.08,46.6,0.325,0.281,0.312,0.11900000000000001,146.7,76.8,0.19699999999999998,0.08,126.78,6.0865625,98.0,8.073809523809523,0
"Cobb County, Georgia",9.8,90.2,43.8,14.6,79.35,35440.608255,58.15,23.35,0.2,4.25,2.3,11.8,15.95,6.8,689254,55.1,10.0,0.441,13.35,43.25,13.1,27.25,0.1,8.35,8.05,0.40892775,34.9,2.7,2.8,0.08,31.1,0.29,0.141,0.23399999999999999,0.08800000000000001,443.1,301.0,0.204,0.081,271.9,4.58,46.8,6.3,1
"Dooly County, Georgia",30.3,69.7,9.6,3.7,63.9,22945.94095,44.2,49.45,0.1,0.3,0.4,5.5,54.35,21.6,13279,49.3,27.3,0.48,42.7,25.85,11.85,29.9,3.0,9.9,19.5,0.44294525,40.3,4.08421052631579,3.6999999999999997,0.14,64.5,0.449,0.21157500000000004,0.317,0.131,644.4,514.0,0.237,0.131,431.92,6.990810810810811,53.2,9.171999999999995,0
"Gordon County, Georgia",26.7,73.3,12.7,4.4,71.55,25826.819365,80.45,3.55,0.25,0.9,1.05,13.75,23.85,18.3,53473,29.1,16.5,0.41200000000000003,21.75,22.8,11.9,25.6,0.65,12.2,26.75,0.66758425,35.3,4.3,4.4,0.07,66.3,0.263,0.23600000000000002,0.285,0.10300000000000001,149.2,66.2,0.254,0.1,331.31,4.59,67.3,8.4,0
"Harris County, Georgia",11.5,88.5,27.4,10.7,82.45,35159.971744999995,77.0,17.7,0.3,0.9,1.7,2.4,11.55,11.1,30454,47.1,9.6,0.455,10.95,42.55,11.8,26.3,0.55,9.75,9.1,0.625184,41.5,3.0,2.7,0.09,29.0,0.195,0.185,0.282,0.127,223.2,149.4,0.14800000000000002,0.068,76.21,4.78,57.2,9.171999999999995,0
"Marion County, Georgia",19.8,80.2,6.8,2.9,72.55,24779.64603,57.4,32.9,0.25,0.6,1.6,7.25,64.75,11.55,7884,42.0,25.45,0.418,45.35,18.9,22.6,16.1,0.8,14.3,27.3,0.44327150000000004,40.6,5.8,4.7,0.1,66.4,0.511,0.21157500000000004,0.319,0.141,285.8,139.6,0.24100000000000002,0.081,318.1956666666669,6.990810810810811,71.4,9.171999999999995,0
"Monroe County, Georgia",19.3,80.7,19.0,7.0,74.0,28173.319365,71.65,24.65,0.1,0.4,1.25,1.9,22.55,12.45,25576,51.4,12.05,0.43799999999999994,15.05,29.2,14.4,27.05,1.95,12.4,15.05,0.57466875,40.0,3.8,2.0,0.11,33.5,0.325,0.285,0.326,0.12300000000000001,319.2,83.5,0.18,0.08199999999999999,156.2,6.21,56.5,9.171999999999995,0
"Bremer County, Iowa",6.4,93.6,26.5,7.5,83.65,29465.889839999996,96.9,0.5,0.05,0.7,0.9,0.9,7.4,7.2,23890,39.5,8.05,0.402,6.85,35.85,15.3,23.75,1.1,8.4,15.6,0.93919725,38.8,2.7,2.7,0.08,11.5,0.201,0.136,0.281,0.091,173.0,24.3,0.076,0.039,359.22,2.8745454545454545,38.0,5.9399999999999995,0
"Buchanan County, Iowa",9.5,90.5,18.5,5.0,75.7,27996.89905,97.25,0.35,0.2,0.5,0.7,1.05,15.4,9.2,20934,55.3,10.15,0.379,14.3,29.1,14.5,20.85,1.75,11.65,22.2,0.94595675,38.4,3.4,2.1,0.06,25.7,0.185,0.18,0.3,0.098,157.7,56.77073170731708,0.10300000000000001,0.051,84.1,2.8745454545454545,49.5,5.9399999999999995,0
"Delaware County, Iowa",8.7,91.3,14.6,4.0,78.2,27648.236510000002,98.15,0.15,0.1,0.15,0.5,0.9,17.3,10.85,17604,46.0,8.75,0.38799999999999996,10.8,29.45,14.1,20.9,2.3,11.0,22.3,0.96345375,40.9,2.0,2.5,0.06,23.3,0.187,0.203,0.345,0.084,220.9,56.77073170731708,0.102,0.044000000000000004,217.89,2.8745454545454545,62.7,5.9399999999999995,0
"Linn County, Iowa",6.8,93.2,29.6,8.3,80.05,30823.684760000004,89.85,3.55,0.2,1.85,2.1,2.4,15.25,7.5,208090,50.9,9.9,0.423,11.95,37.15,15.1,26.45,0.4,8.0,12.9,0.80992575,36.5,2.8,3.0,0.07,27.5,0.28300000000000003,0.161,0.27899999999999997,0.087,507.8,64.9,0.086,0.053,226.15,1.74,47.2,5.6,1
"Boise County, Idaho",12.8,87.2,23.9,8.1,78.05,29129.06222,92.75,0.1,0.5,0.5,2.15,3.9,10.9,9.85,7247,42.4,14.5,0.40299999999999997,21.85,35.9,11.3,22.15,2.05,17.75,10.9,0.8622905000000001,46.3,4.4,4.5,0.09,19.6,0.212,0.20600000000000002,0.258,0.10099999999999999,185.1,65.45625,0.193,0.086,98.79,2.276,84.3,6.758333333333333,0
"Custer County, Idaho",7.1,92.9,24.5,4.7,62.35,24465.97365,94.9,0.05,0.6,0.1,1.35,2.95,20.35,14.6,4248,36.5,12.85,0.414,17.05,31.8,14.45,21.55,0.9,19.75,11.55,0.90169075,41.0,2.9,3.2,0.06710526315789474,24.2,0.155,0.135,0.26899999999999996,0.098,216.56052631578945,65.45625,0.179,0.071,92.55,2.276,102.9,6.758333333333333,0
"Franklin County, Idaho",8.3,91.7,18.5,6.1,75.45,21745.679685,91.55,0.1,0.45,0.15,0.75,6.95,25.65,7.15,12529,22.5,14.0,0.39399999999999996,21.05,25.3,13.95,22.1,5.35,15.2,18.15,0.84305025,31.5,3.7,3.9,0.06,26.2,0.113,0.096,0.282,0.091,54.5,65.45625,0.205,0.045,44.45,2.276,57.6,6.758333333333333,0
"Jasper County, Illinois",11.8,88.2,13.0,5.6,76.6,24235.539685,98.25,0.2,0.2,0.2,0.45,0.65,15.25,5.05,9671,44.8,9.3,0.37200000000000005,11.15,28.25,15.6,21.8,1.95,10.25,22.15,0.96538075,42.6,3.5211267605633796,3.079245283018867,0.1,29.4,0.268,0.21284999999999998,0.3,0.102,133.8,137.61025641025643,0.133,0.083,231.66,4.455,82.0,7.3657894736842096,0
"Knox County, Illinois",14.8,85.2,15.2,5.1,78.45,21596.855555000002,86.0,7.05,0.15,0.8,1.6,4.35,30.05,7.35,52498,60.6,15.7,0.433,23.55,28.2,19.65,25.95,0.4,7.85,18.0,0.74678475,41.4,3.4,2.6,0.08,41.0,0.402,0.188,0.324,0.099,351.5,172.5,0.125,0.084,366.96,4.455,72.2,6.2,0
"St. Clair County, Illinois",12.6,87.4,23.9,8.8,78.35,29463.524445,64.1,29.5,0.2,1.15,2.0,3.0,28.25,9.75,265662,55.5,15.35,0.442,24.55,32.8,20.0,26.7,0.45,7.9,12.2,0.49934225,36.7,4.0,3.5,0.09,50.1,0.44299999999999995,0.21899999999999997,0.297,0.111,857.3,269.7,0.11599999999999999,0.09699999999999999,944.98,15.1,67.4,8.2,1
"Williamson County, Illinois",11.8,88.2,21.7,8.0,76.95,24587.281585,92.4,3.55,0.3,0.75,1.3,1.75,23.3,10.35,65284,51.8,16.6,0.44299999999999995,24.45,30.8,20.45,26.65,0.45,9.5,12.15,0.85557675,40.2,3.3,3.3,0.08,41.3,0.35600000000000004,0.21100000000000002,0.302,0.086,343.7,74.3,0.129,0.083,579.91,3.08,75.9,6.7,0
"Hendricks County, Indiana",6.6,93.4,31.2,9.6,80.7,36228.51238,89.7,4.4,0.2,1.8,1.35,2.6,8.45,5.3,139698,44.3,5.6,0.37,7.2,37.1,12.05,27.6,0.2,10.05,13.0,0.80773125,36.5,2.5,2.7,0.07,21.7,0.20800000000000002,0.18100000000000002,0.318,0.09,168.9,135.2,0.10800000000000001,0.066,156.02,1.47,40.6,5.5,0
"Henry County, Indiana",16.5,83.5,13.8,4.6,76.95,27328.42095,95.7,1.85,0.1,0.2,1.0,1.2,30.7,9.0,48471,45.1,13.15,0.401,18.1,25.65,17.85,23.8,0.35,10.45,21.9,0.91644025,40.9,3.9,3.9,0.08,38.8,0.331,0.28300000000000003,0.297,0.106,231.4,70.1,0.172,0.099,46.49,3.81,92.4,7.7,0
"Marshall County, Indiana",16.7,83.3,17.1,6.5,73.7,27675.03492,89.35,0.4,0.2,0.45,1.1,8.5,23.6,11.3,46828,28.1,11.6,0.406,15.85,26.3,14.25,20.95,1.0,11.1,26.4,0.8057285,37.7,3.0,3.1,0.07,36.6,0.22,0.21,0.314,0.10300000000000001,95.6,43.6,0.191,0.08900000000000001,79.97,4.187857142857142,60.0,4.4,0
"Putnam County, Indiana",14.9,85.1,17.6,8.4,74.8,24476.43905,92.8,3.7,0.25,0.6,1.2,1.45,13.3,7.75,37478,32.9,9.95,0.381,12.15,28.5,17.8,21.4,1.35,11.5,19.5,0.8629495,37.3,2.8,2.8,0.07,29.8,0.272,0.244,0.32299999999999995,0.11900000000000001,250.5,126.9,0.146,0.091,76.26,4.187857142857142,54.1,7.352083333333332,0
"Warrick County, Indiana",8.7,91.3,25.6,9.3,79.8,31488.818730000003,94.45,1.15,0.15,1.35,1.55,1.4,9.55,6.75,58377,54.4,6.25,0.435,7.15,33.4,14.65,27.1,0.3,10.2,14.4,0.89283325,39.6,3.3,4.1,0.08,26.5,0.215,0.13699999999999998,0.324,0.10300000000000001,187.5,35.5,0.11800000000000001,0.068,254.44,4.187857142857142,52.8,5.0,0
"Wayne County, Indiana",17.4,82.6,15.8,6.4,75.85,25641.630794999997,89.7,4.8,0.15,0.75,2.35,2.35,32.35,8.95,68534,43.2,15.5,0.43200000000000005,23.45,28.35,18.7,22.45,0.5,8.75,21.25,0.808076,40.1,4.0,4.6,0.08,50.1,0.41200000000000003,0.26,0.282,0.094,456.0,114.6,0.17600000000000002,0.10300000000000001,262.94,2.06,58.7,8.5,0
"Whitley County, Indiana",9.8,90.2,16.6,5.3,72.7,29897.923810000004,96.7,0.25,0.1,0.3,1.25,1.35,11.15,7.85,32898,34.5,6.85,0.387,8.1,25.35,12.75,23.7,0.9,10.55,26.75,0.93544375,38.8,3.3,2.0,0.08,30.8,0.262,0.215,0.337,0.09,203.6,20.6,0.14,0.079,45.53,4.187857142857142,55.8,7.352083333333332,0
"Ellis County, Kansas",8.3,91.7,33.6,11.7,80.6,20047.745394999998,92.7,0.7,0.2,1.2,1.3,3.9,11.95,9.0,27902,30.2,14.1,0.45299999999999996,7.6,30.9,18.75,29.5,0.9,9.6,10.45,0.861216,31.8,2.9,2.0,0.07,23.8,0.228,0.151,0.294,0.075,542.8,29.1,0.126,0.031,279.44,5.603,59.2,8.010526315789473,0
"McPherson County, Kansas",11.9,88.1,25.1,7.4,79.85,26775.12476,93.7,0.8,0.35,0.5,1.5,3.1,13.55,5.35,29082,36.6,8.1,0.40399999999999997,11.3,30.2,16.75,23.3,1.45,9.9,18.35,0.87925625,41.0,2.3,2.2,0.06,27.3,0.22,0.139,0.303,0.096,188.1,40.9,0.124,0.04,206.5,5.603,67.8,8.010526315789473,0
